compound,grouping,MW,formula,CAS,C,H,O,N,n_Benz,Cl,S,F,Si,Br,I,Combust,MRF
Naphthacene,2.3,228.2879,C18H12,,18,12,0,0,4,0,0,,,,,2138.0,2.269
ethane,1.0,30.07,C2H6,,2,6,0,0,0,0,0,,,,,350.0,0.229
"2-Pentene, (Z)-",1.5,70.1329,C5H10,,5,10,0,0,0,0,0,,,,,748.0,0.57
"2-Pentene, 3,4-dimethyl-, (Z)-",1.5,98.1861, C7H14,,7,14,0,0,0,0,0,,,,,1042.0,0.822
"Pentane, 2,2,4-trimethyl-",0.9,114.2285,C8H18,,8,18,0,0,0,0,0,,,,,1233.0,0.986
Cyclooctane,1.1,112.2126,C8H16,,8,16,0,0,0,0,0,,,,,1190.0,0.949
"2,2-Dimethyl-3-heptene trans",1.55,126.23, C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
"2,4-dimethylhept-1-ene",1.55,126.24,C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
Propylcyclohexane,1.1,126.24,C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
γ-Terpinene,1.1,136.23,C10H16,,10,16,0,0,0,0,0,,,,,1397.0,1.126
"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",1.1,136.23,C10H16,,10,16,0,0,0,0,0,,,,,1397.0,1.126
C21H42 brached,1.55,294.55,C21H42,,21,42,0,0,0,0,0,,,,,3104.0,2.589
C8H16 branched,1.55,112.21,C8H16,,8,16,0,0,0,0,0,,,,,1190.0,0.949
"1,3-Cycloheptadiene",1.7,94.1543,C7H10,,7,10,0,0,0,0,0,,,,,955.0,0.748
"Cyclohexane, 1,2-dimethyl- (cis/trans)",1.1,112.2126,C8H16,,8,16,0,0,0,0,0,,,,,1190.0,0.949
C32H64 bracnhed,1.55,448.84,C32H64,,32,64,0,0,0,0,0,,,,,4724.0,3.978
"2,3-Dimethyl-1-hexene",1.55,112.21,C8H16,,8,16,0,0,0,0,0,,,,,1190.0,0.949
"1,5-Heptadiene, 3,6-dimethyl-",1.7,124.22,C9H16,,9,16,0,0,0,0,0,,,,,1293.0,1.037
"2,4,6-Trimethyl-1-heptene",1.55,140.26,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
C10H18 dienes,1.7,138.25,C10H18,,10,18,0,0,0,0,0,,,,,1441.0,1.164
C11H24 isoparaffins,0.9,156.31,C11H24,,11,24,0,0,0,0,0,,,,,1675.0,1.365
C12H22 diolefins,1.7,166.3,C12H22,,12,22,0,0,0,0,0,,,,,1735.0,1.416
C13H24 dioelfins,1.7,180.33,C13H24,,13,24,0,0,0,0,0,,,,,1882.0,1.542
C37H72,1.7,516.96,C37H72,,37,72,0,0,0,0,0,,,,,5417.0,4.571
C38H76 branched,1.55,533.0,C38H76,,38,76,0,0,0,0,0,,,,,5608.0,4.735
C40H38,1.7,518.73,C40H38,,40,38,0,0,0,0,0,,,,,4985.0,4.201
"1,5-Heptadiene, 3,3,6-trimethyl-",1.7,138.25,C10H18,,10,18,0,0,0,0,0,,,,,1441.0,1.164
"Cyclohexanol, 2-methyl-, trans-",3.0,114.19,C7H14O,,7,14,1,0,0,0,0,,,,,994.0,0.781
trans-3-Decene,1.5,140.27,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
"Benzoic acid, 2-ethylhexyl ester",2.0,250.33,C15H22O3,,15,22,3,0,1,0,0,,,,,1901.0,1.685
Propene,1.5,42.081,C3H6,,3,6,0,0,0,0,0,,,,,453.0,0.318
Naphthalene,2.2,128.1705,C10H8,91-20-3,10,8,0,0,2,0,0,0.0,0.0,0.0,0.0,1221.56,1.23007692
"2,2-Dimethylindane",2.0,146.233,C11H14,,11,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1456.23,1.30418911
"Naphthalene, 1,2,5,6-tetramethyl-",2.2,184.2768,C14H16,2131-43-3,14,16,0,0,2,0,0,0.0,0.0,0.0,0.0,1810.64,1.73491848
3-chlorothiophene,7.0,118.585,C4H3ClS,17249-80-8,4,3,0,0,0,1,1,0.0,0.0,0.0,0.0,538.13,0.39037741
Pyrene,2.3,202.2506,C16H10,129-00-0,16,10,0,0,4,0,0,0.0,0.0,0.0,0.0,1886.68,2.05408476
"Pyridine, 2-chloro-",7.0,113.545,C5H4ClN,109-09-1,5,4,0,1,0,1,0,0.0,0.0,0.0,0.0,596.34,0.44026338
Acetylene,1.7,26.0373,C2H2,74-86-2,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,261.9,0.1536483
"1,3-Pentadiene, 2-methyl-, (E)-",1.7,82.1436,C6H10,926-54-5,6,10,0,0,0,0,0,0.0,0.0,0.0,0.0,850.98,0.65848986
Ethylidenecyclobutane,1.7,82.1436,C6H10,1528-21-8,6,10,0,0,0,0,0,0.0,0.0,0.0,0.0,850.98,0.65848986
"Cyclopentene, 4-methyl-",1.7,82.1436,C6H10,1759-81-5,6,10,0,0,0,0,0,0.0,0.0,0.0,0.0,850.98,0.65848986
3-Methylenecyclopentene,,80.1277,C6H8,930-26-7,6,8,0,0,0,0,0,0.0,0.0,0.0,0.0,807.28,0.62103896
"1,5-Heptadiene, (E)-",1.7,96.1702,C7H12,7736-22-3,7,12,0,0,0,0,0,0.0,0.0,0.0,0.0,998.25,0.78470025
(Z)-3-Heptene,1.5,98.1861,C7H14,10/6/7642,7,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1041.95,0.82215115
1-Ethylcyclopentene,1.7,96.1702,C7H12,2146-38-5,7,12,0,0,0,0,0,0.0,0.0,0.0,0.0,998.25,0.78470025
C8 isodiolefins,1.7,110.0,C8H14,,8,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1145.52,0.91091064
"Pentalene, octahydro-, cis-",1.7,110.1968,C8H14,1755-05-1,8,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1145.52,0.91091064
"Bicyclo[2.2.1]heptane, 2-methyl-, exo-",1.7,110.1968,C8H14,872-78-6,8,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1145.52,0.91091064
"Cyclooctene, (Z)-",1.7,110.1968,C8H14,931-87-3,8,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1145.52,0.91091064
"Cycloheptane, methyl-",1.5,112.2126,C8H16,4126-78-7,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.22,0.94836154
"Bicyclo[4.1.0]heptane, 2-methyl-",1.7,110.0,C8H14,,8,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1145.52,0.91091064
"Bicyclo[4.1.0]heptane, 3-methyl-",1.7,110.2,C8H14,,8,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1145.52,0.91091064
"4,5-Nonadiene",1.7,124.2233,C9H16,821-74-9,9,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1292.79,1.03712103
"Cyclopentane, butyl-",1.5,126.2392,C9H18,2040-95-1,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1336.49,1.07457193
"Cyclohexane, 1-ethyl-2-methyl-, cis-",1.5,126.2392,C9H18,4923-77-7,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1336.49,1.07457193
C10H18,1.7,114.2,C10H18,,10,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1440.06,1.16333142
"Cyclohexane, 1-methyl-2-propyl-",1.5,140.2658,C10H20,4291-79-6,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1483.76,1.20078232
"Cyclohexane, butyl-",1.5,140.2658,C10H20,1678-93-9,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1483.76,1.20078232
C10H20 cyclic,1.5,140.26,C10H20,,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1483.76,1.20078232
Cycloundecene(E),1.7,152.2765,C11H20,13151-60-5,11,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1587.33,1.28954181
C11H20 isodiolefins,1.7,152.28,C11H20,,11,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1587.33,1.28954181
"Z-1,6-Undecadiene",1.7,152.28,C11H20,,11,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1587.33,1.28954181
C11H22 cyclic,1.5,154.28,C11H22,,11,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1631.03,1.32699271
C12H22 isodioolefins,1.7,166.3,C12H22,,12,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1734.6,1.4157522
C12H24 cyclic,1.5,168.3,C12H24,,12,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1778.3,1.4532031
C12 isodiolefins,1.7,166.3,C12H22,,12,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1734.6,1.4157522
C13H24 isodiolefins,1.7,180.33,C13H24,,13,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1881.87,1.54196259
C13H26 cyclic,1.5,182.33,C13H26,,13,26,0,0,0,0,0,0.0,0.0,0.0,0.0,1925.57,1.57941349
C13 isodiolefins,1.7,180.33,C13H24,,13,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1881.87,1.54196259
"Cyclopropane-1,1,2,2-tetracarbonitrile, 3-ethyl-3-methyl-",4.0,184.202,C10H8N4,,10,8,0,4,0,0,0,0.0,0.0,0.0,0.0,1251.4,1.0016498
"4H-1,3-Benzodioxin",3.0,136.1479,C8H8O2,254-27-3,8,8,2,0,1,0,0,0.0,0.0,0.0,0.0,918.12,0.84302884
"2H-Pyran-2-one, tetrahydro-6,6-dimethyl-",3.0,128.169,C7H12O2,2610-95-9,7,12,2,0,0,0,0,0.0,0.0,0.0,0.0,901.95,0.70217115
"Benzeneethanol, a-methyl-",3.0,136.194,C9H12O,,9,12,1,0,1,0,0,0.0,0.0,0.0,0.0,1157.24,1.04795468
"4-Octene, (E)-",1.5,112.2126,C8H16,14850-23-8,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.22,0.94836154
"Octane, 4-chloro-",7.0,148.674,C8H17Cl,999-07-5,8,17,0,0,0,1,0,0.0,0.0,0.0,0.0,1183.64,0.94357948
"3-Nonene, (E)-",1.5,126.2392,C9H18,20063-92-7,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1336.49,1.07457193
cis-3-Nonene,1.5,126.2392,C9H18,20237-46-1,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1336.49,1.07457193
4-Chloro-3-n-hexyltetrahydropyran,7.0,204.741,C11H21ClO,,11,21,1,0,0,1,0,0.0,0.0,0.0,0.0,1533.6,1.2434952
trans-4-Decene,1.5,140.2658,C10H20,19398-89-1,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1483.76,1.20078232
"2-Decenal, (E)-",3.0,154.2493,C10H18O,3913-81-3,10,18,1,0,0,0,0,0.0,0.0,0.0,0.0,1391.91,1.12206687
"1H-Indene, 1-hexadecyl-2,3-dihydro-",2.0,342.601,C25H42,55334-29-7,25,42,0,0,1,0,0,0.0,0.0,0.0,0.0,3518.01,3.07113457
"Propanedinitrile, (1-methylethenyl)(phenylmethyl)-",4.0,196.253,C13H12N2,,13,12,0,2,1,0,0,0.0,0.0,0.0,0.0,1634.59,1.45704363
"1H-Indene, 1-chloro-2,3-dihydro-",7.0,152.624,C9H9Cl,,9,9,0,0,1,1,0,0.0,0.0,0.0,0.0,1112.41,1.00953537
"Oxirane, ethyl-",3.0,72.107,C4H8O,,4,8,1,0,0,0,0,0.0,0.0,0.0,0.0,551.99,0.40225543
"Decane, 1-chloro-",7.0,176.727,C10H21Cl,1002-69-3,10,21,0,0,0,1,0,0.0,0.0,0.0,0.0,1478.18,1.19600026
"(2-Pent-2-enylcyclopentylideneaminooxy)acetic acid, methyl ester",3.0,224.3,C13H20O3,,13,20,3,0,0,0,0,0.0,0.0,0.0,0.0,1650.02,1.34326714
"Cyclohexane, 2-propyl-1,1,3-trimethyl-",1.5,168.324,C12H24,,12,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1778.3,1.4532031
"1-Decanol, 2-ethyl-",3.0,186.3342,C12H26O,21078-65-9,12,26,1,0,0,0,0,0.0,0.0,0.0,0.0,1773.85,1.44938945
"Ether, 6-methylheptyl vinyl",3.0,156.2652,C10H20O,10573-35-0,10,20,1,0,0,0,0,0.0,0.0,0.0,0.0,1435.61,1.15951777
"3-Dodecene, (Z)-",1.5,168.319,C12H24,7239-23-8,12,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1778.3,1.4532031
Phthalic anhydride,3.0,148.1156,C8H4O3,85-44-9,8,4,3,0,1,0,0,0.0,0.0,0.0,0.0,782.57,0.72686249
Tetrdecene,,206.458,C14H38,,14,38,0,0,0,0,0,0.0,0.0,0.0,0.0,2291.34,1.89287838
"Nonane, 1-chloro-",7.0,162.7,C9H19Cl,2473-01-0,9,19,0,0,0,1,0,0.0,0.0,0.0,0.0,1330.91,1.06978987
"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",3.0,286.407,C16H30O4,,16,30,4,0,0,0,0,0.0,0.0,0.0,0.0,2131.08,1.75553556
"Benzoic acid, undecyl ester",3.0,276.4137,C18H28O2,6316-30-9,18,28,2,0,1,0,0,0.0,0.0,0.0,0.0,2390.82,2.10513274
Diamyl phthalate,3.0,306.3966,C18H26O4,131-18-0,18,26,4,0,1,0,0,0.0,0.0,0.0,0.0,2250.82,1.98515274
"Phthalic acid, heptyl undecyl ester",3.0,418.618,C26H42O4,,26,42,4,0,1,0,0,0.0,0.0,0.0,0.0,3428.98,2.99483586
"1,2-Cyclohexanedicarboxylic acid, 2-methylpent-3-yl nonyl ester",3.0,382.5772,C23H42O4,,23,42,4,0,0,0,0,0.0,0.0,0.0,0.0,3118.27,2.60155739
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",3.0,424.6569,C26H48O4,,26,48,4,0,0,0,0,0.0,0.0,0.0,0.0,3560.08,2.98018856
"Bis-(3,5,5-trimethylhexyl) phthalate",3.0,418.6093,C26H42O4,14103-61-8,26,42,4,0,1,0,0,0.0,0.0,0.0,0.0,3428.98,2.99483586
Didecyl phthalate,3.0,446.6624,C28H46O4,84-77-5,28,46,4,0,1,0,0,0.0,0.0,0.0,0.0,3723.52,3.24725664
"Carbonic acid, eicosyl vinyl ester",3.0,368.5937,C23H44O3,,23,44,3,0,0,0,0,0.0,0.0,0.0,0.0,3210.12,2.68027284
"3,6-Octadecadiynoic acid, methyl ester",3.0,294.479,C19H34O2,,19,34,2,0,0,0,0,0.0,0.0,0.0,0.0,2625.49,2.17924493
dop,3.0,390.5561,C24H38O4,,24,38,4,0,1,0,0,0.0,0.0,0.0,0.0,3134.44,2.74241508
Hexene,7.0,118.605,C6H11Cl,,6,11,0,0,0,1,0,0.0,0.0,0.0,0.0,845.4,0.6537078
C6H12 iso-olefins,1.5,84.162,C6H12,,6,12,0,0,0,0,0,0.0,0.0,0.0,0.0,894.68,0.69594076
C7H14 iso-olefins,1.5,98.189,C7H14,,7,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1041.95,0.82215115
C8H16 iso-olefins,1.5,112.216,C8H16,,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.22,0.94836154
C9H18 iso-olefins,1.5,126.243,C9H18,,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1336.49,1.07457193
C10H22 iso-paraffin,0.9,142.286,C10H22,,10,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1527.46,1.23823322
C11H24,0.9,156.3083,C11H24,,11,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1674.73,1.36444361
"Benzene, 2-ethenyl-1,3,5-trimethyl-",2.0,146.2289,C11H14,,11,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1456.23,1.30418911
C12H26,0.9,170.34,C12H26,,12,26,0,0,0,0,0,0.0,0.0,0.0,0.0,1822.0,1.490654
"Benzene, 1-methyl-2-(1-ethylpropyl)-",2.0,162.2713,C12H18,,12,18,0,0,1,0,0,0.0,0.0,0.0,0.0,1647.2,1.4678504
"Benzene, 1,4-dipropyl-",2.0,162.2713,C12H18,,12,18,0,0,1,0,0,0.0,0.0,0.0,0.0,1647.2,1.4678504
"1H-Indene, 2,3-dimethyl-",2.0,144.213,C11H12,,11,12,0,0,1,0,0,0.0,0.0,0.0,0.0,1412.53,1.26673821
C13H28,0.9,184.367,C13H28,,13,28,0,0,0,0,0,0.0,0.0,0.0,0.0,1969.27,1.61686439
1-Methyl-2-n-hexylbenzene,2.0,176.2979,C13H20,,13,20,0,0,1,0,0,0.0,0.0,0.0,0.0,1794.47,1.59406079
C14H30 iso-paraffin,0.9,198.394,C14H30,,14,30,0,0,0,0,0,0.0,0.0,0.0,0.0,2116.54,1.74307478
C15H32 iso-paraffin,0.9,212.421,C15H32,,15,32,0,0,0,0,0,0.0,0.0,0.0,0.0,2263.81,1.86928517
C17H36 iso-paraffin,0.9,240.475,C17H36,,17,36,0,0,0,0,0,0.0,0.0,0.0,0.0,2558.35,2.12170595
"Oxybis(propane-1,2-diyl) dibenzoate",3.0,342.391,C20H22O5,,20,22,5,0,2,0,0,0.0,0.0,0.0,0.0,2322.41,2.17350537
2-Methyl-6-hepten-3-ol,3.0,128.212,C8H16O,,8,16,1,0,0,0,0,0.0,0.0,0.0,0.0,1141.07,0.90709699
"2-Octen-1-ol, (Z)-",3.0,128.212,C8H16O,,8,16,1,0,0,0,0,0.0,0.0,0.0,0.0,1141.07,0.90709699
C5H10 iso-olefins,1.5,70.13499999999999,C5H10,,5,10,0,0,0,0,0,0.0,0.0,0.0,0.0,747.4099999999999,0.5697303699999999
"Hexanoic acid, 2-ethyl-",3.0,144.2114,C8H16O2,,8,16,2,0,0,0,0,0.0,0.0,0.0,0.0,1092.9199999999998,0.8658324399999999
"2-Butene, (E)-",1.5,56.1063,C4H8,,4,8,0,0,0,0,0,0.0,0.0,0.0,0.0,600.14,0.44351998
"1H-Indene, 2,3,4,7-tetrahydro-",,120.1916,C9H12,,9,12,0,0,0,0,0,0.0,0.0,0.0,0.0,1205.39,0.96221923
"Benzene, 1-ethynyl-4-methyl-",2.0,116.1598,C9H8,,9,8,0,0,1,0,0,0.0,0.0,0.0,0.0,1117.9899999999998,1.0143174299999995
"Cyclohexane, 1,3-butadienylidene-",,134.22199999999998,C10H14,,10,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1352.66,1.08842962
"Benzene, 1-methyl-2-propyl-",2.0,134.2182,C10H14,,10,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1352.66,1.21542962
"Benzene, 1-methyl-4-(2-propenyl)-",2.0,132.2023,C10H12,,10,12,0,0,1,0,0,0.0,0.0,0.0,0.0,1308.9599999999998,1.1779787199999998
"Benzene, 1-methyl-3-(1-methyl-2-propenyl)-",2.0,146.23299999999998,C11H14,,11,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1456.23,1.30418911
"Benzene, (3-methyl-2-butenyl)-",2.0,146.2289,C11H14,,11,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1456.23,1.30418911
"Oct-3-ene-1,5-diyne, 3-t-butyl-7,7-dimethyl-",,188.314,C14H20,,14,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1898.04,1.55582028
"Cyclohexene, 1-phenyl-",2.0,158.2396,C12H14,,12,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1559.8,1.3929486
"Naphthalene, 1,2-dihydro-1,5,8-trimethyl-",2.0,172.2661,C13H16,,13,16,0,0,1,0,0,0.0,0.0,0.0,0.0,1707.0699999999997,1.5191589899999998
"Naphthalene, 1,4-dihydro-2,5,8-trimethyl-",2.0,172.27100000000002,C13H16,,13,16,0,0,1,0,0,0.0,0.0,0.0,0.0,1707.0699999999997,1.5191589899999998
3-(2-Methyl-propenyl)-1H-indene,2.0,170.255,C13H14,,13,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1663.37,1.48170809
"Cyclobutene, 2-propenylidene-",0.0,92.141,C7H8,,7,8,0,0,0,0,0,0.0,0.0,0.0,0.0,910.85,0.70979845
"2-Hexene, 5,5-dimethyl-, (Z)-",1.5,112.2126,C8H16,,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.2199999999998,0.9483615399999998
"Z-3,4,4-Trimethyl-2-pentene",1.5,112.2126,C8H16,,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.2199999999998,0.9483615399999998
"2-Heptene, 3-methyl-",1.5,112.2126,C8H16,,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.2199999999998,0.9483615399999998
iso-Nonene,1.5,126.243,C9H18,,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1336.4899999999998,1.0745719299999998
iso-Decene,1.5,140.26999999999998,C10H20,,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1483.7599999999998,1.2007823199999998
2-Methyl-1-nonene,1.5,140.2658,C10H20,,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1483.7599999999998,1.2007823199999998
"5-Decene, (E)-",1.5,140.2658,C10H20,,10,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1483.7599999999998,1.2007823199999998
"1-Octanol, 3,7-dimethyl-",3.0,158.2811,C10H22O,,10,22,1,0,0,0,0,0.0,0.0,0.0,0.0,1479.3099999999995,1.1969686699999995
Benzophenone,3.0,182.2179,C13H10O,,13,10,1,0,2,0,0,0.0,0.0,0.0,0.0,1527.8199999999997,1.4925417399999998
Diisononyl phthalate,3.0,418.6093,C26H42O4,,26,42,4,0,1,0,0,0.0,0.0,0.0,0.0,3428.98,2.99483586
"1-Hexene, 4-methyl-",1.5,98.1861,C7H14,,7,14,0,0,0,0,0,0.0,0.0,0.0,0.0,1041.95,0.82215115
"3,4-Heptadiene",1.7,96.1702,C7H12,,7,12,0,0,0,0,0,0.0,0.0,0.0,0.0,998.25,0.78470025
"1-Hexene, 3,5-dimethyl-",1.5,112.2126,C8H16,,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.2199999999998,0.9483615399999998
"Pentane, 2-cyclopropyl- ",1.5,112.216,C8H16,,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1189.2199999999998,0.9483615399999998
"1-Octene, 3-methyl-",1.5,126.2392,C9H18,,9,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1336.4899999999998,1.0745719299999998
1-Octyn-3-ol,3.0,126.1962,C8H14O,,8,14,1,0,0,0,0,0.0,0.0,0.0,0.0,1097.37,0.8696460899999999
"Hexanal, 2-ethyl-",3.0,128.212,C8H16O,,8,16,1,0,0,0,0,0.0,0.0,0.0,0.0,1141.0699999999997,0.9070969899999998
"Benzene, 1-ethyl-3-methyl- ",2.0,120.195,C9H12,,9,12,0,0,1,0,0,0.0,0.0,0.0,0.0,1205.39,1.08921923
"1,3-Cyclopentadiene, 5-(1-methylpropylidene)-",,120.195,C9H12,,9,12,0,0,0,0,0,0.0,0.0,0.0,0.0,1205.39,0.96221923
Nonanol,3.0,144.2545,C9H20O,,9,20,1,0,0,0,0,0.0,0.0,0.0,0.0,1332.0399999999995,1.0707582799999995
"Benzene, 2-ethenyl-1,4-dimethyl-",2.0,132.2023,C10H12,,10,12,0,0,1,0,0,0.0,0.0,0.0,0.0,1308.9599999999998,1.1779787199999998
"1,2-Benzenedicarboxylic acid, butyl octyl ester",3.0,334.4498,C20H30O4,,20,30,4,0,1,0,0,0.0,0.0,0.0,0.0,2545.36,2.23757352
Octan-2-yl palmitate,3.0,368.6367,C24H48O2,,24,48,2,0,0,0,0,0.0,0.0,0.0,0.0,3449.24,2.88519868
2-Ethylhexyl stearate,3.0,396.6899,C26H52O2,,26,52,2,0,0,0,0,0.0,0.0,0.0,0.0,3743.78,3.13761946
"1-Butene, 3-chloro-2-methyl-",7.0,104.578,C5H9Cl,,5,9,0,0,0,1,0,0.0,0.0,0.0,0.0,698.1299999999999,0.5274974099999999
"Cyclohexane, chloro-",7.0,118.605,C6H11Cl,,6,11,0,0,0,1,0,0.0,0.0,0.0,0.0,845.4,0.6537078000000001
"Benzene, 1-ethenyl-4-ethyl-",2.0,132.2023,C10H12,,10,12,0,0,1,0,0,0.0,0.0,0.0,0.0,1308.9599999999998,1.1779787199999998
C12 MAH,2.0,162.276,C12H18,,12,18,0,0,1,0,0,0.0,0.0,0.0,0.0,1647.1999999999998,1.4678504
C13 MAH,2.0,176.303,C13H20,,13,20,0,0,1,0,0,0.0,0.0,0.0,0.0,1794.4699999999998,1.59406079
9-Hexadecenoic acid,3.0,254.4082,C16H30O2,,16,30,2,0,0,0,0,0.0,0.0,0.0,0.0,2227.38,1.83806466
MAH-C6,2.0,78.066,C6H6,,6,6,0,0,1,0,0,0.0,0.0,0.0,0.0,764.12,0.71085084
MAH-C7,2.0,92.077,C7H8,,7,8,0,0,1,0,0,0.0,0.0,0.0,0.0,911.39,0.83706123
MAH-C8,2.0,106.088,C8H10,,8,10,0,0,1,0,0,0.0,0.0,0.0,0.0,1058.66,0.96327162
MAH-C9,2.0,120.099,C9H12,,9,12,0,0,1,0,0,0.0,0.0,0.0,0.0,1205.93,1.08948201
MAH-C10,2.0,134.11,C10H14,,10,14,0,0,1,0,0,0.0,0.0,0.0,0.0,1353.2,1.2156924
MAH-C11,2.0,148.121,C11H16,,11,16,0,0,1,0,0,0.0,0.0,0.0,0.0,1500.47,1.34190279
MAH-C12,2.0,162.132,C12H18,,12,18,0,0,1,0,0,0.0,0.0,0.0,0.0,1647.74,1.46811318
MAH-C13,2.0,176.143,C13H20,,13,20,0,0,1,0,0,0.0,0.0,0.0,0.0,1795.01,1.59432357
MAH-C14,2.0,190.154,C14H22,,14,22,0,0,1,0,0,0.0,0.0,0.0,0.0,1942.28,1.72053396
MAH-C15,2.0,204.165,C15H24,,15,24,0,0,1,0,0,0.0,0.0,0.0,0.0,2089.55,1.84674435
MAH-C16,2.0,218.176,C16H26,,16,26,0,0,1,0,0,0.0,0.0,0.0,0.0,2236.82,1.97295474
MAH-C17,2.0,232.187,C17H28,,17,28,0,0,1,0,0,0.0,0.0,0.0,0.0,2384.09,2.09916513
MAH-C18,2.0,246.198,C18H30,,18,30,0,0,1,0,0,0.0,0.0,0.0,0.0,2531.36,2.22537552
MAH-C19,2.0,260.209,C19H32,,19,32,0,0,1,0,0,0.0,0.0,0.0,0.0,2678.63,2.35158591
MAH-C20,2.0,274.22,C20H34,,20,34,0,0,1,0,0,0.0,0.0,0.0,0.0,2825.9,2.4777963
MAH-C21,2.0,288.231,C21H36,,21,36,0,0,1,0,0,0.0,0.0,0.0,0.0,2973.17,2.60400669
MAH-C22,2.0,302.242,C22H38,,22,38,0,0,1,0,0,0.0,0.0,0.0,0.0,3120.44,2.73021708
MAH-C23,2.0,316.253,C23H40,,23,40,0,0,1,0,0,0.0,0.0,0.0,0.0,3267.71,2.85642747
MAH-C24,2.0,330.264,C24H42,,24,42,0,0,1,0,0,0.0,0.0,0.0,0.0,3414.98,2.98263786
MAH-C25,2.0,344.275,C25H44,,25,44,0,0,0,0,0,0.0,0.0,0.0,0.0,3562.25,2.98184825
i-C6,0.9,86.066,C6H14,,6,14,0,0,0,0,0,0.0,0.0,0.0,0.0,938.92,0.73365444
i-C7,0.9,100.077,C7H16,,7,16,0,0,0,0,0,0.0,0.0,0.0,0.0,1086.19,0.85986483
i-C8,0.9,114.088,C8H18,,8,18,0,0,0,0,0,0.0,0.0,0.0,0.0,1233.46,0.98607522
i-C9,0.9,128.099,C9H20,,9,20,0,0,0,0,0,0.0,0.0,0.0,0.0,1380.73,1.11228561
i-C10,0.9,142.11,C10H22,,10,22,0,0,0,0,0,0.0,0.0,0.0,0.0,1528.0,1.238496
i-C11,0.9,156.121,C11H24,,11,24,0,0,0,0,0,0.0,0.0,0.0,0.0,1675.27,1.36470639
