compound,grouping,MW,formula,CAS,C,H,O,N,n_Benz,Cl,S,F,Si,Br,I,Combust,MRF
C47H96,1.0,661.26,C47H96,,47,96,0,0,0,0,0,,,,,6977.0,5.908
C48H96,1.5,673.27,C48H96,,48,96,0,0,0,0,0,,,,,7081.0,5.997
C48H98,1.0,675.28,C48H98,,48,98,0,0,0,0,0,,,,,7124.0,6.034
C49H98,1.5,687.29,C49H98,,49,98,0,0,0,0,0,,,,,7228.0,6.123
C49H100,1.0,689.31,C49H100,,49,100,0,0,0,0,0,,,,,7272.0,6.161
C50H100,1.5,701.32,C50H100,,50,100,0,0,0,0,0,,,,,7375.0,6.249
C50H102,1.0,703.33,C50H102,,50,102,0,0,0,0,0,,,,,7419.0,6.287
C51H102,1.5,715.35,C51H102,,51,102,0,0,0,0,0,,,,,7522.0,6.376
C51H104,1.0,717.36,C51H104,,51,104,0,0,0,0,0,,,,,7566.0,6.413
C52H104,1.5,729.37,C52H104,,52,104,0,0,0,0,0,,,,,7670.0,6.502
C52H106,1.0,731.39,C52H106,,52,106,0,0,0,0,0,,,,,7713.0,6.539
C53H106,1.5,743.4,C53H106,,53,106,0,0,0,0,0,,,,,7817.0,6.628
C53H108,1.0,745.41,C53H108,,53,108,0,0,0,0,0,,,,,7861.0,6.666
C54H108,1.5,757.42,C54H108,,54,108,0,0,0,0,0,,,,,7964.0,6.754
C54H110,1.0,759.44,C54H110,,54,110,0,0,0,0,0,,,,,8008.0,6.792
C55H110,1.5,771.45,C55H110,,55,110,0,0,0,0,0,,,,,8111.0,6.881
C55H112,1.0,773.47,C55H112,,55,112,0,0,0,0,0,,,,,8155.0,6.918
C56H112,1.5,785.48,C56H112,,56,112,0,0,0,0,0,,,,,8259.0,7.007
C56H114,1.0,787.49,C56H114,,56,114,0,0,0,0,0,,,,,8302.0,7.044
C57H114,1.5,799.5,C57H114,,57,114,0,0,0,0,0,,,,,8406.0,7.133
C57H116,1.0,801.52,C57H116,,57,116,0,0,0,0,0,,,,,8450.0,7.17
C58H116,1.5,813.53,C58H116,,58,116,0,0,0,0,0,,,,,8553.0,7.259
C58H118,1.0,815.55,C58H118,,58,118,0,0,0,0,0,,,,,8597.0,7.297
C59H118,1.5,827.56,C59H118,,59,118,0,0,0,0,0,,,,,8701.0,7.385
C59H120,1.0,829.57,C59H120,,59,120,0,0,0,0,0,,,,,8744.0,7.423
C60H120,1.5,841.58,C60H120,,60,120,0,0,0,0,0,,,,,8848.0,7.512
C60H122,1.0,843.6,C60H122,,60,122,0,0,0,0,0,,,,,8892.0,7.549
C61H122,1.5,855.61,C61H122,,61,122,0,0,0,0,0,,,,,8995.0,7.638
C61H124,1.0,857.62,C61H124,,61,124,0,0,0,0,0,,,,,9039.0,7.675
C62H124,1.5,869.64,C62H124,,62,124,0,0,0,0,0,,,,,9142.0,7.764
C62H126,1.0,871.65,C62H126,,62,126,0,0,0,0,0,,,,,9186.0,7.801
C36H70,1.7,502.934,,,36,70,0,0,0,0,0,,,,,5270.0,4.445
": Glutaric acid, ethyl 2-propylpentyl ester",3.0,272.2,C15H28O4,,15,28,4,0,0,0,0,,,,,1984.0,1.629
"Glutaric acid, butyl 2-ethylhexyl ester",3.0,300.23,C17H32O4,,17,32,4,0,0,0,0,,,,,2279.0,1.882
4-(Decyloxy)benzoic acid,3.0,278.19,C17H26O3,,17,26,3,0,0,0,0,,,,,2196.0,1.811
"Glutaric acid, di(2-ethylhexyl) ester",3.0,356.29,C21H40O4,,21,40,4,0,0,0,0,,,,,2868.0,2.387
"Octanoic acid, 2-ethylhexyl ester",3.0,256.4241,C16H32O2,,16,32,2,0,0,0,0,,,,,2272.0,1.876
"Cyclopropane, 1-methyl-2-pentyl-",3.0,126.14,C9H18,,9,18,0,0,0,0,0,,,,,1337.0,1.075
"Acetic acid, 2-ethylhexyl ester",3.0,172.15,C10H20O2,,10,20,2,0,0,0,0,,,,,1388.0,1.118
2-Ethylhexyl acrylate,3.0,184.15,C11H20O2,,11,20,2,0,0,0,0,,,,,1492.0,1.207
"Cyclohexane, hexyl-",1.5,168.19,C12H24,,12,24,0,0,0,0,0,,,,,1779.0,1.453
2-Ethylhexyl methacrylate,3.0,198.16,C12H22O2,,12,22,2,0,0,0,0,,,,,1639.0,1.333
"Cyclopentanecarboxylic acid, 2-ethylhexyl ester",3.0,226.19,C14H26O2,,14,26,2,0,0,0,0,,,,,1933.0,1.586
C21H42O2,3.0,326.32,C21H42O2,,21,42,2,0,0,0,0,,,,,3008.0,2.507
7-Hexyltridecan-1-ol,3.0,284.31,C19H40O,,19,40,1,0,0,0,0,,,,,2805.0,2.333
"1,2-Benzenedicarboxylic acid",2.0,166.13,C8H6O4,,8,6,4,0,1,0,0,,,,,779.0,0.723
(E)-9-Octadecenoic acid ethyl ester,3.0,310.5,C20H38O2,,20,38,2,0,0,0,0,,,,,2817.0,2.343
"Octadecanoic acid, 2-(2-hydroxyethoxy)ethyl ester",3.0,372.58,C22H44O4,,22,44,4,0,0,0,0,,,,,3059.0,2.55
"Hexanedioic acid, dioctyl ester",3.0,370.57,C22H42O4,,22,42,4,0,0,0,0,,,,,3015.0,2.513
Bis(2-ethylhexyl) phthalate,2.0,390.6,C24H38O4,,24,38,4,0,1,0,0,,,,,3135.0,2.743
"1,3-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",2.0,390.56,C24H38O4,,24,38,4,0,1,0,0,,,,,3135.0,2.743
"Phthalic acid, nonyl pentadecyl ester",2.0,502.8,C32H54O4,,32,54,4,0,1,0,0,,,,,4313.0,3.752
"Di-3,7-dimethyl-1-octyl phthalate",2.0,390.6,C24H38O4,,24,38,4,0,1,0,0,,,,,3135.0,2.743
"Heptane, 3-chloro-3-methyl-",7.0,148.67,C8H17Cl,,8,17,0,0,0,1,0,,,,,1184.0,0.944
"Benzene, 1,3-diethenyl-",2.0,130.19,C10H10,,10,10,0,0,1,0,0,,,,,1266.0,1.141
"Phenanthrene, 1,2,3,4-tetrahydro-",2.3,182.26,C14H14,,14,14,0,0,2,0,0,,,,,1767.0,1.698
11H-Benzo[b]fluorene,2.3,216.28,C17H12,,17,12,0,0,3,0,0,,,,,2034.0,2.054
Triphenylene,2.3,228.3,C18H12,,18,12,0,0,0,0,0,,,,,2138.0,1.761
"Heptane, 3-(chloromethyl)-",7.0,148.67,C8H17Cl,,8,17,0,0,0,1,0,,,,,1184.0,0.944
"1-Hexanol, 2-ethyl-",3.0,130.23,C8H18O,,8,18,1,0,0,0,0,,,,,1185.0,0.945
"Octane, 1-chloro-",7.0,148.67,C8H17Cl,,8,18,0,0,0,1,0,,,,,1206.0,0.963
"2-Decene, 7-methyl-, (Z)-",1.55,154.29,C11H22,,11,22,0,0,0,0,0,,,,,1632.0,1.327
"1-Undecene, 8-methyl-",1.55,168.32,C12H24,,12,24,0,0,0,0,0,,,,,1779.0,1.453
"2-Undecene, 8-methyl-, (Z)-",1.55,168.32,C12H24,,12,24,0,0,0,0,0,,,,,1779.0,1.453
"1-Pentanol, 4-methyl-2-propyl-",3.0,144.25,C9H20O,,9,20,1,0,0,0,0,,,,,1333.0,1.071
1-chlorodecane,7.0,176.72,C10H21Cl,,10,21,0,0,0,1,0,,,,,1479.0,1.196
1-chloroundecane,7.0,190.75,C11H23Cl,,11,23,0,0,0,1,0,,,,,1626.0,1.322
Dibutyl phthalate,2.0,278.34,C16H22O4,,16,22,4,0,1,0,0,,,,,1957.0,1.733
"Terephthalic acid, di(2-chloroethyl) ester",7.0,291.12,C12H12Cl2O4,,12,12,4,0,1,2,0,,,,,1269.0,1.144
"1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",2.0,390.6,C24H38O4,,24,38,4,0,1,0,0,,,,,3135.0,2.743
Didecan-2-yl phthalate,2.0,446.7,C28H46O4,,28,46,4,0,1,0,0,,,,,3724.0,3.247
"Nonane, 1-chloro",7.0,162.7,C9H19Cl,,9,19,0,0,0,1,0,,,,,1331.0,1.07
"3-Nonene, 2-methyl-",1.55,140.27,C10H20O2,,10,20,0,0,0,0,0,,,,,1484.0,1.201
"1-Heptanol, 2-propyl-",3.0,158.28,C10H22O,,10,22,1,0,0,0,0,,,,,1480.0,1.197
"Phthalic acid, butyl tetradecyl ester",2.0,418.6,C26H42O4,,26,42,4,0,1,0,0,,,,,3429.0,2.995
i-Propyl 16-methyl-heptadecanoate,3.0,326.6,C21H42O2,,21,42,2,0,0,0,0,,,,,3008.0,2.507
"1-Octene, 3,7-dimethyl-",1.55,140.27,C10H20,,10,20,0,0,0,0,0,,,,,1484.0,1.201
Propanal,3.0,58.08,C3H6O,,3,6,1,0,0,0,0,,,,,405.0,0.276
"Butane, 1-chloro-",7.0,92.57,C4H9Cl,,4,9,0,0,0,1,0,,,,,595.0,0.439
"Propane, 1,1-dimethoxy-",3.0,104.15,C5H12O2,,5,12,2,0,0,0,0,,,,,695.0,0.525
Methyl methacrylate,3.0,100.12,C5H8O2,,5,8,2,0,0,0,0,,,,,608.0,0.45
"2-Butene, 1-chloro-3-methyl-",7.0,104.58,C5H9Cl,,5,9,0,0,0,1,0,,,,,699.0,0.528
Cyclopentanone,3.0,84.12,C5H8O,,5,8,1,0,0,0,0,,,,,656.0,0.491
"1-Hexene, 6-chloro-",7.0,118.6,C6H11Cl,,6,11,0,0,0,1,0,,,,,846.0,0.654
5-Hexen-1-ol,3.0,100.16,C6H12O,,6,12,1,0,0,0,0,,,,,847.0,0.655
"Hexane, 1,6-dichloro-",7.0,155.06,C6H12Cl2,,6,12,0,0,0,2,0,,,,,840.0,0.649
2-Oxepanone,3.0,114.14,C6H10O2,,6,10,2,0,0,0,0,,,,,755.0,0.576
"4-Undecene, 10-methyl-, (E)-",1.55,168.32,C12H24,,12,24,0,0,0,0,0,,,,,1779.0,1.453
